"clnt_id","clnt_gender","clnt_age"
"00001",unknown,unknown
"00002",F,"30"
"00003",unknown,unknown
"00004",unknown,unknown
"00005",unknown,unknown
"00006",unknown,unknown
"00007",unknown,unknown
"00008",unknown,unknown
"00009",F,"40"
"00010",unknown,unknown
"00011",unknown,unknown
"00012",F,"40"
"00013",unknown,unknown
"00014",unknown,unknown
"00015",unknown,unknown
"00016",unknown,unknown
"00017",unknown,unknown
"00018",unknown,unknown
"00019",unknown,unknown
"00020",F,"30"
"00021",unknown,unknown
"00022",M,"30"
"00023",F,"40"
"00024",F,"40"
"00025",unknown,unknown
"00026",unknown,unknown
"00027",unknown,unknown
"00028",unknown,unknown
"00029",F,"40"
"00030",unknown,unknown
"00031",unknown,unknown
"00033",unknown,unknown
"00034",unknown,unknown
"00035",unknown,unknown
"00036",unknown,unknown
"00037",unknown,unknown
"00038",F,"40"
"00039",unknown,unknown
"00040",F,"30"
"00041",F,"40"
"00042",unknown,unknown
"00043",F,"40"
"00044",unknown,unknown
"00045",F,"20"
"00046",unknown,unknown
"00047",unknown,unknown
"00048",unknown,unknown
"00049",F,"50"
"00050",unknown,unknown
"00051",unknown,unknown
"00052",unknown,unknown
"00053",unknown,unknown
"00054",M,"50"
"00055",unknown,unknown
"00056",unknown,unknown
"00057",F,"40"
"00058",unknown,unknown
"00059",unknown,unknown
"00060",F,"30"
"00061",unknown,unknown
"00062",unknown,unknown
"00063",unknown,unknown
"00064",F,"40"
"00065",unknown,unknown
"00066",unknown,unknown
"00067",unknown,unknown
"00068",unknown,unknown
"00069",unknown,unknown
"00070",F,"30"
"00071",unknown,unknown
"00072",M,"20"
"00073",unknown,unknown
"00074",unknown,unknown
"00075",M,"40"
"00076",unknown,unknown
"00077",unknown,unknown
"00078",unknown,unknown
"00079",unknown,unknown
"00080",F,"50"
"00081",unknown,unknown
"00082",unknown,unknown
"00083",unknown,unknown
"00084",unknown,unknown
"00085",unknown,unknown
"00086",M,"40"
"00087",unknown,unknown
"00088",unknown,unknown
"00089",unknown,unknown
"00090",unknown,unknown
"00091",unknown,unknown
"00092",F,"40"
"00093",unknown,unknown
"00094",unknown,unknown
"00095",F,"40"
"00096",unknown,unknown
"00097",unknown,unknown
"00098",unknown,unknown
"00099",unknown,unknown
"00100",unknown,unknown
"00101",unknown,unknown
"00102",unknown,unknown
"00103",unknown,unknown
"00104",unknown,unknown
"00105",unknown,unknown
"00106",F,"40"
"00107",unknown,unknown
"00108",unknown,unknown
"00109",unknown,unknown
"00110",unknown,unknown
"00111",unknown,unknown
"00112",unknown,unknown
"00113",unknown,unknown
"00114",unknown,unknown
"00115",unknown,unknown
"00116",unknown,unknown
"00117",unknown,unknown
"00118",unknown,unknown
"00119",unknown,unknown
"00120",unknown,unknown
"00121",unknown,unknown
"00122",unknown,unknown
"00123",unknown,unknown
"00124",F,"60"
"00125",unknown,unknown
"00126",unknown,unknown
"00127",unknown,unknown
"00128",unknown,unknown
"00129",unknown,unknown
"00130",unknown,unknown
"00131",unknown,unknown
"00132",unknown,unknown
"00133",unknown,unknown
"00134",unknown,unknown
"00135",F,"20"
"00136",unknown,unknown
"00137",F,"20"
"00138",unknown,unknown
"00139",unknown,unknown
"00140",unknown,unknown
"00141",unknown,unknown
"00142",unknown,unknown
"00143",unknown,unknown
"00144",unknown,unknown
"00145",unknown,unknown
"00146",unknown,unknown
"00147",unknown,unknown
"00148",unknown,unknown
"00149",unknown,unknown
"00150",unknown,unknown
"00151",F,"40"
"00152",F,"30"
"00153",unknown,unknown
"00154",unknown,unknown
"00155",unknown,unknown
"00156",unknown,unknown
"00157",unknown,unknown
"00158",unknown,unknown
"00159",unknown,unknown
"00160",unknown,unknown
"00161",unknown,unknown
"00162",unknown,unknown
"00163",unknown,unknown
"00164",unknown,unknown
"00165",unknown,unknown
"00166",unknown,unknown
"00167",unknown,unknown
"00168",unknown,unknown
"00169",unknown,unknown
"00170",unknown,unknown
"00171",unknown,unknown
"00172",F,"40"
"00173",unknown,unknown
"00174",unknown,unknown
"00175",unknown,unknown
"00176",F,"50"
"00177",unknown,unknown
"00178",unknown,unknown
"00179",unknown,unknown
"00180",unknown,unknown
"00181",unknown,unknown
"00182",M,"30"
"00183",F,"30"
"00184",unknown,unknown
"00185",F,"30"
"00186",unknown,unknown
"00187",unknown,unknown
"00188",unknown,unknown
"00189",F,"40"
"00190",unknown,unknown
"00191",unknown,unknown
"00192",M,"30"
"00193",unknown,unknown
"00194",unknown,unknown
"00195",unknown,unknown
"00196",unknown,unknown
"00197",unknown,unknown
"00198",unknown,unknown
"00199",F,"30"
"00200",unknown,unknown
"00201",unknown,unknown
"00202",M,"40"
"00203",unknown,unknown
"00204",unknown,unknown
"00205",unknown,unknown
"00206",unknown,unknown
"00207",unknown,unknown
"00208",unknown,unknown
"00209",unknown,unknown
"00210",F,"20"
"00211",F,"30"
"00212",unknown,unknown
"00213",unknown,unknown
"00214",F,"30"
"00215",unknown,unknown
"00216",F,"20"
"00217",unknown,unknown
"00218",F,"40"
"00219",unknown,unknown
"00220",unknown,unknown
"00221",unknown,unknown
"00222",unknown,unknown
"00223",unknown,unknown
"00224",unknown,unknown
"00225",unknown,unknown
"00226",F,"20"
"00227",unknown,unknown
"00228",F,"40"
"00229",unknown,unknown
"00230",unknown,unknown
"00231",unknown,unknown
"00232",unknown,unknown
"00233",unknown,unknown
"00234",unknown,unknown
"00235",unknown,unknown
"00236",unknown,unknown
"00237",unknown,unknown
"00238",F,"30"
"00239",unknown,unknown
"00240",unknown,unknown
"00241",unknown,unknown
"00242",unknown,unknown
"00243",unknown,unknown
"00244",unknown,unknown
"00245",F,"30"
"00246",unknown,unknown
"00247",F,"20"
"00248",unknown,unknown
"00249",unknown,unknown
"00250",unknown,unknown
"00251",unknown,unknown
"00252",unknown,unknown
"00253",unknown,unknown
"00254",unknown,unknown
"00255",unknown,unknown
"00256",unknown,unknown
"00257",unknown,unknown
"00258",unknown,unknown
"00259",unknown,unknown
"00260",unknown,unknown
"00261",unknown,unknown
"00262",unknown,unknown
"00263",F,"40"
