pd_c,clac_nm1,clac_nm2,clac_nm3
1,Automotive Products,Automotive Replacement Repair / Maintanance Kits,Automobile Oil / Additives
2,Automotive Products,Automotive Replacement Repair / Maintanance Kits,Car Lights
3,Automotive Products,Automotive Replacement Repair / Maintanance Kits,Car Paint
4,Automotive Products,Automotive Replacement Repair / Maintanance Kits,Filters
5,Automotive Products,Automotive Replacement Repair / Maintanance Kits,Wiper Blades
6,Automotive Products,Car Accessories,Car Air Fresheners
7,Automotive Products,Car Accessories,Car Interior Accessories
8,Automotive Products,Car Accessories,Car Mirrors
9,Automotive Products,Car Accessories,Car Exterior Accessories
10,Automotive Products,Car Accessories,Mobile-phone Accessories
11,Automotive Products,Car Accessories,Notice Boards
12,Automotive Products,Car Accessories,Steering Wheel Accessories
13,Automotive Products,Car Accessories,Storage / Organization Accessories
14,Automotive Products,Car Accessories,Sun Protection Accessories
15,Automotive Products,Car Safety Equipment,Accident Prevention Equipment
16,Automotive Products,Car Safety Equipment,Snow Chains
17,Automotive Products,Car Sound Systems / Electronics,Black Box
18,Automotive Products,Car Sound Systems / Electronics,Car Chargers
19,Automotive Products,Car Sound Systems / Electronics,Other Car Electronics
20,Automotive Products,Car Wash Equipment,Car Cleaners
21,Automotive Products,Car Wash Equipment,Car Cleaners / Car Polishes
22,Automotive Products,Car Wash Equipment,Car Cleaning Rags
23,Automotive Products,Car Wash Equipment,Car Wash Kits
24,Automotive Products,Car Wash Equipment,Coatings / Waxes
25,Automotive Products,Car Wash Equipment,Crack Removals
26,Automotive Products,Car Wash Equipment,Dust Brushes
27,Automotive Products,Car Wash Equipment,Washer Fluid
28,Automotive Products,Seats / Cushions / Mats,Car Floor Mats
29,Automotive Products,Seats / Cushions / Mats,Car Seats
30,Baby Foods,Baby Foods,Baby Formula
31,Baby Foods,Baby Foods,Powdered Formula
32,Baby Foods,Baby Snacks,Baby Beverages
33,Baby Foods,Baby Snacks,Baby Snack Foods
34,Ball Game / Field Sports,Badminton,Badminton Rackets
35,Ball Game / Field Sports,Badminton,Badminton Shuttlecocks
36,Ball Game / Field Sports,Badminton,Other Badminton Equipment
37,Ball Game / Field Sports,Baseball,Baseball Bats
38,Ball Game / Field Sports,Baseball,Baseball Gloves
39,Ball Game / Field Sports,Baseball,Baseballs
40,Ball Game / Field Sports,Baseball,Other Baseball Equipment
41,Ball Game / Field Sports,Basketball,Basketballs
42,Ball Game / Field Sports,Basketball,Other Basketball Equipment
43,Ball Game / Field Sports,Golf,Golf Bags
44,Ball Game / Field Sports,Golf,Golf Balls
45,Ball Game / Field Sports,Golf,Golf Clubs
46,Ball Game / Field Sports,Golf,Golf Equipment
47,Ball Game / Field Sports,Golf,Golf Fashion Accessories
48,Ball Game / Field Sports,Golf,Golf Gloves
49,Ball Game / Field Sports,Golf,Golf Shoes
50,Ball Game / Field Sports,Golf,Golf Training Equipment
51,Ball Game / Field Sports,Other Ball Game / Field Sports,Other Ball Game / Field Sport Equipment
52,Ball Game / Field Sports,Soccer / Footbal,Other Soccer Equipment
53,Ball Game / Field Sports,Soccer / Footbal,Soccer Balls
54,Ball Game / Field Sports,Soccer / Footbal,Soccer Protective Gear
55,Ball Game / Field Sports,Soccer / Footbal,Soccer Shoes
56,Ball Game / Field Sports,Soccer / Footbal,Soccer Socks and Hosiery
57,Ball Game / Field Sports,Soccer / Footbal,Soccer Uniforms
58,Ball Game / Field Sports,Table Tennis,Table Tennis Balls
59,Ball Game / Field Sports,Table Tennis,Table Tennis Rackets
60,Ball Game / Field Sports,Tennis,Other Tennis Equipment
61,Ball Game / Field Sports,Tennis,Tennis Balls
62,Bedding / Handicraft,Adults' Bedding,Adult's Bed Covers and Skirts
63,Bedding / Handicraft,Adults' Bedding,Adults' Bed Fillings
64,Bedding / Handicraft,Adults' Bedding,Adults' Bedding Sets
65,Bedding / Handicraft,Adults' Bedding,Adults' Blankets
66,Bedding / Handicraft,Adults' Bedding,Adults' Duvet / Duvet Cover
67,Bedding / Handicraft,Adults' Bedding,Adults' Korean Style Mattress / Covers
68,Bedding / Handicraft,Adults' Bedding,Adults' Matteress Pads
69,Bedding / Handicraft,Adults' Bedding,Adults' Mattress Cover
70,Bedding / Handicraft,Adults' Bedding,Adults' Pads / Bed Spread
71,Bedding / Handicraft,Adults' Bedding,Adults' Pillow / Pillow Cover
72,Bedding / Handicraft,Carpets / Rugs / Mats,Carpets
73,Bedding / Handicraft,Carpets / Rugs / Mats,General Mats
74,Bedding / Handicraft,Carpets / Rugs / Mats,Rugs
75,Bedding / Handicraft,Handicraft,Cushion / Cushion Covers
76,Bedding / Handicraft,Handicraft,Handicraft Product Cottons
77,Bedding / Handicraft,Handicraft,Indoor Footwear
78,Bedding / Handicraft,Handicraft,Kitchen Handicraft
79,Bedding / Handicraft,Handicraft,Lap Blankets
80,Bedding / Handicraft,Handicraft,Livingroom Handicraft
81,Bedding / Handicraft,Handicraft,Sitting Cushions / Covers
82,Bedding / Handicraft,Handicraft Accessories,Fabrics
83,Bedding / Handicraft,Handicraft Accessories,Sewing Boxes
84,Bedding / Handicraft,Kids' Bedding,Kids' Bedding Sets
85,Bedding / Handicraft,Kids' Bedding,Kids' Blankets
86,Bedding / Handicraft,Kids' Bedding,Kids' Duvet / Duvet Cover
87,Bedding / Handicraft,Kids' Bedding,Kids' Korean Style Mattress / Covers
88,Bedding / Handicraft,Kids' Bedding,Kids' Pads / Bed Spread
89,Bedding / Handicraft,Kids' Bedding,Kids' Pillow / Pillow Cover
90,Bedding / Handicraft,Seasonal Handicraft,Mosquito Net
91,Bedding / Handicraft,Seasonal Handicraft,Traditional Wooden Carpets
92,Beverages,Coffee Drinks,Coffee Drinks
93,Beverages,Drink Sets,Fruit / Vegetable Juice Sets
94,Beverages,Drink Sets,Functional Drink Sets
95,Beverages,Drink Sets,Other Drink Sets
96,Beverages,Fruit and Vegetable Drinks,Fruit Juices
97,Beverages,Fruit and Vegetable Drinks,Kids Drinks
98,Beverages,Fruit and Vegetable Drinks,Mixed Fruit / Vegetable Drinks
99,Beverages,Fruit and Vegetable Drinks,Vegetable Juices
100,Beverages,Functional Drinks,Fiber Drinks
101,Beverages,Functional Drinks,Hangover Curing Drinks
102,Beverages,Functional Drinks,Korean Traditional Drinks
103,Beverages,Functional Drinks,Other Functional Drinks
104,Beverages,Functional Drinks,Sports Drinking Water
105,Beverages,Functional Drinks,Vitamin Drinks / Energy Drinks
106,Beverages,Ready to Drinks,Drink Pouches / Instant Drinks
107,Beverages,Soft Drinks,Ciders
108,Beverages,Soft Drinks,Cokes
109,Beverages,Soft Drinks,Soft Drink Mixes
110,Beverages,Soy Milk,General Soy Milk
111,Beverages,Tea Drinks,General Tea Drinks
112,Beverages,Tea Drinks,Korean Traditional Tea Drinks
113,Beverages,Water,Sparkling Water
114,Beverages,Water,Water
115,Birth Supplies / Baby Products,Baby Growth Products,Baby Bath Toys
116,Birth Supplies / Baby Products,Baby Growth Products,Baby Bouncers / Saucers / Walkers
117,Birth Supplies / Baby Products,Baby Growth Products,Baby Carriers
118,Birth Supplies / Baby Products,Baby Growth Products,Baby Potties& Seats / Potty Trainings
119,Birth Supplies / Baby Products,Baby Growth Products,Kids Car / Rocking Ride-Ons
120,Birth Supplies / Baby Products,Baby Growth Products,Teethers / Rattle
121,Birth Supplies / Baby Products,Baby Hygiene Goods,Baby Bath Products
122,Birth Supplies / Baby Products,Baby Hygiene Goods,Baby Shampoos / Body Washes
123,Birth Supplies / Baby Products,Baby Hygiene Goods,Baby Wipes
124,Birth Supplies / Baby Products,Baby Hygiene Goods,Infant Diapers
125,Birth Supplies / Baby Products,Baby Hygiene Goods,Kids' Toothbrushes
126,Birth Supplies / Baby Products,Baby Hygiene Goods,Kids' Toothpaste
127,Birth Supplies / Baby Products,Baby Safety Equipment,Baby Car Seats / Mattress Pads
128,Birth Supplies / Baby Products,Baby Safety Equipment,Baby Mattress Pads
129,Birth Supplies / Baby Products,Baby Safety Equipment,Baby Strollers
130,Birth Supplies / Baby Products,Baby Safety Equipment,Other Baby Safety Equipment
131,Birth Supplies / Baby Products,Baby Skin / Body Care,Baby Skin Care
132,Birth Supplies / Baby Products,Feeding / Weaning Products,Baby Foods Accessories
133,Birth Supplies / Baby Products,Feeding / Weaning Products,Baby Health Supplements
134,Birth Supplies / Baby Products,Feeding / Weaning Products,Birth Supplies / Baby Goods Sets
135,Birth Supplies / Baby Products,Feeding / Weaning Products,Breastmilk Storage Goods
136,Birth Supplies / Baby Products,Feeding / Weaning Products,Feeding / Weaning Products' Cleanser
137,Birth Supplies / Baby Products,Feeding / Weaning Products,Feeding Bottles / Nipples
138,Birth Supplies / Baby Products,Feeding / Weaning Products,Feeding Bottles Sterilizers / Warmers
139,Birth Supplies / Baby Products,Feeding / Weaning Products,Nursing Pads / Nursing Aids
140,Birth Supplies / Baby Products,Maternity Care Products,Maternity Skin Care
141,Books / Records / Instruments,Books,Children's Books
142,Books / Records / Instruments,Books,General Books
143,Books / Records / Instruments,Books,Interpark Books
144,Books / Records / Instruments,Books,Newspapers / Magazines
145,Books / Records / Instruments,Books,Study Guide Books
146,Books / Records / Instruments,Books,Toddler Books
147,Books / Records / Instruments,Musical Instruments,Keyboard Instruments
148,Books / Records / Instruments,Musical Instruments,Musical Instrument Accessories
149,Books / Records / Instruments,Musical Instruments,String Instruments
150,Canned / Jarred Foods,Canned Agricultural Foods,Canned Fruit Foods
151,Canned / Jarred Foods,Canned Agricultural Foods,Canned Vegetable Foods
152,Canned / Jarred Foods,Canned Fish Foods,Canned Other Fish Foods
153,Canned / Jarred Foods,Canned Fish Foods,Canned Salmons
154,Canned / Jarred Foods,Canned Fish Foods,Canned Sauries / Mackerels
155,Canned / Jarred Foods,Canned Fish Foods,Canned Tunas
156,Canned / Jarred Foods,Canned Fish Foods,Canned bai top Shells
157,Canned / Jarred Foods,Canned Food Gift Sets,Canned Ham Gift Sets
158,Canned / Jarred Foods,Canned Food Gift Sets,Canned Mix Food Gift Sets
159,Canned / Jarred Foods,Canned Food Gift Sets,Canned Tuna Gift Sets
160,Canned / Jarred Foods,Canned Meat Foods,Canned Chickens
161,Canned / Jarred Foods,Canned Meat Foods,Canned Ham
162,Canned / Jarred Foods,Canned Meat Foods,Canned Other Meat Foods
163,Canned / Jarred Foods,Jams,Fruit Jams
164,Canned / Jarred Foods,Jams,Spreads
165,Cell Phones / Accessories,Mobile Accessories,Cases / Protective Films
166,Cell Phones / Accessories,Mobile Accessories,Earphones / Headsets
167,Cell Phones / Accessories,Mobile Accessories,Mobile Batteries / Chargers
168,Cell Phones / Accessories,Mobile Accessories,Other Mobile Accessories
169,Cell Phones / Accessories,Mobile Devices,Cell Phones
170,Cell Phones / Accessories,Mobile Devices,Other Mobile Devices
171,Chilled Foods,Chilled Beverages,Chilled Coffee and Tea Beverages
172,Chilled Foods,Chilled Beverages,Chilled Fruit and Vegetable Beverages
173,Chilled Foods,Chilled Beverages,Chilled Nut Beverages
174,Chilled Foods,Chilled Instant Foods,"Chilled Chicken, Jokbal and Pork Feet"
175,Chilled Foods,Chilled Instant Foods,Chilled Dressings
176,Chilled Foods,Chilled Instant Foods,Chilled Hot Dogs and Hot Bars
177,Chilled Foods,Chilled Instant Foods,Chilled Mature Sauces
178,Chilled Foods,Chilled Instant Foods,Chilled Noodles
179,Chilled Foods,Chilled Instant Foods,Chilled Refreshments
180,Chilled Foods,Chilled Instant Foods,Chilled Rice Cakes
181,Chilled Foods,Chilled Instant Foods,Chilled Rice and Porridge
182,Chilled Foods,Chilled Instant Foods,Chilled Soups
183,Chilled Foods,Chilled Instant Foods,Chilled Tteokbokkis
184,Chilled Foods,Dessert,Bread and Cake
185,Chilled Foods,Dessert,Pudding and Jelley
186,Chilled Foods,Fish Cakes and Crab Sticks,Crab Sticks
187,Chilled Foods,Fish Cakes and Crab Sticks,Devil´s-tongue Jelly
188,Chilled Foods,Fish Cakes and Crab Sticks,Fish Cakes
189,Chilled Foods,Fish Cakes and Crab Sticks,Fried Tofu
190,Chilled Foods,Fish Cakes and Crab Sticks,Gimbap ingredients sets
191,Chilled Foods,Ham and Sausages,Bacons
192,Chilled Foods,Ham and Sausages,Ham
193,Chilled Foods,Ham and Sausages,Ham Gift Sets
194,Chilled Foods,Ham and Sausages,Sausages
195,Chilled Foods,Packaged Side Dishes,Boiled-down Side Dishes
196,Chilled Foods,Packaged Side Dishes,N/A
197,Chilled Foods,Packaged Side Dishes,Packged Kimchi
198,Chilled Foods,Packaged Side Dishes,Pickled Radishes
199,Chilled Foods,Packaged Side Dishes,Salted Seafood
200,Chilled Foods,Packaged Side Dishes,Salted Side Dishes
201,Chilled Foods,Packaged Side Dishes,Seasoned Side Dishes
202,Chilled Foods,Packaged Side Dishes,Stir-Fried Side Dishes
203,Cleaning / Laundry / Bathroom Accessories,Bathroom Fixtures,Bathrobes
204,Cleaning / Laundry / Bathroom Accessories,Bathroom Fixtures,Bathroom Accessories
205,Cleaning / Laundry / Bathroom Accessories,Bathroom Fixtures,Bathroom Cleaning Accessories
206,Cleaning / Laundry / Bathroom Accessories,Bathroom Fixtures,Bathroom Mats
207,Cleaning / Laundry / Bathroom Accessories,Bathroom Fixtures,Bathroom Shoes
208,Cleaning / Laundry / Bathroom Accessories,Bathroom Fixtures,Bathroom Storage / Organization Accessories
209,Cleaning / Laundry / Bathroom Accessories,Bathroom Fixtures,Shower Curtains
210,Cleaning / Laundry / Bathroom Accessories,Bathroom Fixtures,Shower Towels
