기간,국가명,수출건수,수출금액,수입건수,수입금액,무역수지,기타사항
2015년 01월,중국,116932.0,12083947.0,334522.0,8143271.0,3940676.0,
2015년 01월,미국,65888.0,5561545.0,509564.0,3625062.0,1936484.0,
2015년 01월,일본,54017.0,2251307.0,82480.0,3827247.0,-1575940.0,
2015년 02월,중국,86228.0,9927642.0,209100.0,6980874.0,2946768.0,
2015년 02월,미국,60225.0,5021264.0,428678.0,2998216.0,2023048.0,
2015년 02월,일본,48652.0,2000724.0,83320.0,3837614.0,-1836890.0,
2015년 03월,중국,117529.0,11868032.0,234321.0,7226911.0,4641121.0,
2015년 03월,미국,75789.0,6795064.0,491428.0,4055574.0,2739490.0,
2015년 03월,일본,60018.0,2127216.0,98373.0,4383839.0,-2256623.0,
2015년 04월,중국,118916.0,11765637.0,274021.0,7648402.0,4117234.0,
2015년 04월,미국,76605.0,6204676.0,490644.0,3842049.0,2362628.0,
2015년 04월,일본,58362.0,2380419.0,94258.0,4276097.0,-1895679.0,
2015년 05월,중국,107265.0,10927133.0,244025.0,6993229.0,3933904.0,
2015년 05월,미국,66121.0,5623941.0,464243.0,3529283.0,2094658.0,
2015년 05월,일본,50512.0,2331637.0,80872.0,3503700.0,-1172063.0,
2015년 06월,중국,116647.0,11348693.0,259502.0,7398755.0,3949938.0,
2015년 06월,미국,74146.0,6503944.0,505058.0,3824376.0,2679567.0,
2015년 06월,일본,56643.0,2230059.0,95160.0,4010833.0,-1780773.0,
2015년 07월,중국,120911.0,11180021.0,259764.0,7626087.0,3553934.0,
2015년 07월,미국,78345.0,6184652.0,485210.0,4098111.0,2086541.0,
2015년 07월,일본,59233.0,2126238.0,95991.0,3945785.0,-1819547.0,
2015년 08월,중국,110894.0,10883915.0,237086.0,7159340.0,3724575.0,
2015년 08월,미국,65926.0,5059167.0,432578.0,3825994.0,1233173.0,
2015년 08월,일본,48708.0,1870365.0,83392.0,3458588.0,-1588223.0,
2015년 09월,중국,110586.0,12045381.0,249945.0,7584837.0,4460544.0,
2015년 09월,미국,70029.0,5464307.0,426496.0,3278478.0,2185829.0,
2015년 09월,일본,52540.0,2037367.0,83967.0,3708139.0,-1670772.0,
2015년 10월,중국,117095.0,12493015.0,253797.0,8388052.0,4104963.0,
2015년 10월,미국,75210.0,6011443.0,474915.0,3997752.0,2013691.0,
2015년 10월,일본,58527.0,2138398.0,98753.0,3852569.0,-1714171.0,
2015년 11월,중국,401268.0,11610771.0,263306.0,7856047.0,3754724.0,
2015년 11월,미국,68657.0,5519655.0,433251.0,3357784.0,2161871.0,
2015년 11월,일본,55159.0,2022536.0,96870.0,3340140.0,-1317604.0,
2015년 12월,중국,196922.0,10989747.0,263794.0,7244470.0,3745276.0,
2015년 12월,미국,74160.0,5882444.0,479657.0,3591751.0,2290693.0,
2015년 12월,일본,53635.0,2060241.0,98553.0,3709283.0,-1649043.0,
2016년 01월,중국,174200.0,9480540.0,233365.0,6895585.0,2584955.0,
2016년 01월,미국,65901.0,5040734.0,479142.0,3328091.0,1712643.0,
2016년 01월,일본,50833.0,1792002.0,81852.0,3088241.0,-1296239.0,
2016년 02월,중국,150573.0,8641815.0,176908.0,6028943.0,2612872.0,
2016년 02월,미국,67678.0,5222510.0,445862.0,3057982.0,2164528.0,
2016년 02월,일본,51180.0,1696097.0,97107.0,3407324.0,-1711227.0,
2016년 03월,중국,264422.0,10420522.0,264035.0,7299073.0,3121448.0,
2016년 03월,미국,82576.0,6544965.0,524001.0,3794193.0,2750772.0,
2016년 03월,일본,60123.0,2050549.0,108394.0,4204131.0,-2153583.0,
2016년 04월,중국,189373.0,9613431.0,258309.0,7100675.0,2512757.0,
2016년 04월,미국,75119.0,5823758.0,509671.0,3305402.0,2518356.0,
2016년 04월,일본,54325.0,1776555.0,98727.0,3825931.0,-2049376.0,
2016년 05월,중국,198110.0,9928386.0,255598.0,7058149.0,2870238.0,
2016년 05월,미국,75575.0,5669350.0,502068.0,3887886.0,1781464.0,
2016년 05월,일본,54215.0,2041331.0,94163.0,3635641.0,-1594310.0,
2016년 06월,중국,209811.0,10182598.0,254100.0,7215839.0,2966760.0,
2016년 06월,미국,78235.0,6053159.0,475660.0,3834102.0,2219057.0,
2016년 06월,일본,58641.0,2150804.0,107798.0,3888942.0,-1738138.0,
2016년 07월,중국,192812.0,10133980.0,248672.0,7006370.0,3127610.0,
2016년 07월,미국,74147.0,5290588.0,483624.0,3452905.0,1837683.0,
2016년 07월,일본,57803.0,2067445.0,102491.0,3977492.0,-1910048.0,
2016년 08월,중국,189202.0,10304262.0,256337.0,7376119.0,2928143.0,
2016년 08월,미국,72711.0,4818513.0,501422.0,3642084.0,1176429.0,
2016년 08월,일본,52225.0,2010574.0,102500.0,4163665.0,-2153091.0,
2016년 09월,중국,163013.0,10953271.0,250600.0,7233250.0,3720021.0,
2016년 09월,미국,75012.0,5132438.0,507997.0,3415793.0,1716645.0,
2016년 09월,일본,55621.0,2168025.0,104792.0,4233798.0,-2065774.0,
